Path	Mechanic	Name	Tier	Linked	Repeat	Class Feature	Requirements	Description	Notes
caster	spellcasting position	Risky Spellcasting	X	A		Cleric-1 Bard-1	Greater Spellcasting	+1D when you cast a spell with risky position.	Encourages players to find a risky position, or trade position for effect.
caster	spellcasting position	Desperate Spellcasting	X	A		Sorcerer-1 Warlock-1	Greater Spellcasting	+1D when you cast a spell with desperate position.	Encourages players to find a desperate position, or trade position for effect, and generally take more strain.
caster	spellcasting tier	Minor Spellcasting	1				Spellcasting	Your spellcasting tier is 1.	
caster	spellcasting tier	Major Spellcasting	2				Minor Spellcasting	Your spellcasting tier is 2.	
caster	spellcasting tier	Epic Spellcasting	3				Major Spellcasting	Your spellcasting tier is 3.	
caster	spellcasting tier	Legendary Spellcasting	4				Epic Spellcasting	Your spellcasting tier is 4.	
caster	metamagic	Elemental Adept	1				Spellcasting	Choose one elemental damage type: acid, cold, fire, lightning, or thunder. The spells you cast penetrate one level of resilience to that damage type.	
caster	metamagic	Sculpt Spells	1			School of Evocation 1	Spellcasting	Strain 1 to shape an area spell so that a few named targets are not affected.	
caster	metamagic	Subtle Spells	1				Spellcasting	Strain 1 to cast a spell without making any sound or motion. Prevents counterspell.	
caster	metamagic	Twinned Spells	1				Spellcasting	When casting a spell of tier X that targets one, strain X to target another nearby.	Strain 0 for cantrips? Seems fine. Buit isn't this just normal magic?
caster	metamagic	Quickened Spells	1				Spellcasting	Strain 1 to cast a spell in half the usual time.	
caster	metamagic	Empowered Spells	1				Spellcasting	expertise in attack and damage spells	More efficient than normal push.
caster	metamagic	Distant Spells	1				Spellcasting	Strain 1 to double the range of a spell.	
caster	spell school	Abjuration Adept	1				Arcane Spellcasting or Divine Spellcasting	spells that defend or protect	Spellcasting tier is one higher?
caster	spell school	Conjuration Adept	1				Arcane Spellcasting or Primal Spellcasting	spells that conjure or summon	
caster	spell school	Divination Adept	1				Spellcasting	spells that gather information	
caster	spell school	Enchantment Adept	1				Arcane Spellcasting or Primal Spellcasting	spells that enchant or charm	
caster	spell school	Illusion Adept	1				Spellcasting	spells that create illusions	
caster	spell school	Evocation Adept	1				Arcane Spellcasting or Primal Spellcasting	spells that attack or damage	
caster	spell school	Necromancy Adept	1				Arcane Spellcasting or Divine Spellcasting	spells that drain life or control the undead	
caster	spell school	Transmutation Adept	1				Arcane Spellcasting or Primal Spellcasting	spells that transform or shapeshift	
caster	spell school	Healing Adept	1				Divine Spellcasting or Primal Spellcasting	spells that heal or cure	
caster	wildshape	Wildshape	1			Druid 1	Primal Spellcasting or Transmutation Savant	Strain 2 to shapechange yourself into a non-flying beast of one tier lower than your tier for a few hours. Once you are tier 2, you can wildshape into a flying beast.	Physical wounds do not carry over? Earlier than polymorph.
caster	wildshape	Improved Wildshape	1			Circle of the Moon 1	Wildshape	Wildshape into a beast of your tier.	
caster	wildshape	Elemental Wildshape	2			Circle of the Moon 2	Improved Wildshape	Wildshape into an elemental.	
caster	wildshape	Wildshape Spellcasting	3				Wildshape and Spellcasting	You can cast spells while wildshaped.	
caster	wildshape	Unlimited Wildshape	4				Wildshape	Wildshape does not require strain.	
all	attunement	Minor Attunement	1		TRUE			You can attune to one minor magic item.	Attunement is critical for game balance. Players can respec.
all	attunement	Major Attunement	2		TRUE			You can attune to one major magic item.	
all	attunement	Epic Attunement	3		TRUE			You can attune to one epic magic item.	
all	attunement	Legendary Attunement	4		TRUE			You can attune to one legendary magic item.	
all	pet	Familiar	1					tier 0, small	Why not a spell? Because it's permanent?
all	pet	Greater Familiar	1			Familiar		Your familiar is intelligent and can turn invisible.	invisible, distant link
all	pet	Beast Companion	1					You have a tier 1 beast companion: medium or large, non-flying.	
all	pet	Greater Beast Companion	2				Beast Companion	You have a tier 2 beast companion: medium or large.	
all	pet	Epic Beast Companion	3				Greater Beast Companion	You have a tier 3 beast companion: medium, large, or huge.	
expert	action roll dice	Expertise: ACTION	1					+1D when rolling for ACTION.	
expert	skill	Explorer	1			Ranger 1		You are adept when you explore, navigate, or traverse.	
expert	group action	Expert Leader	1				Expertise	take at most 1 strain when you use expertise to lead a group action	
martial	push	Flurry of Blows	1			Monk 1	Martial Arts	When attacking, strain 1 for +1D or increased effect, or strain 2 for both.	
martial	barbarian	Rage	1			Barbarian-1		Strain 2 to enter a rage for up to one minute. While raging: potency with Strength; physical consequences are reduced by one level.	Compare to Wildshape
	rogue	Thieves' Cant	0			Rogue-1		You know the secret code of thieves, and can hide secret messages in normal speach and writing.	
martial	rogue	Cunning Action	1			Rogue-1		You are particularly quick when dashing, disengaging, or hiding.	
		Evasion	2			Rogue-2	Resilient Dexterity	Reduced consequence for misfortune rolls with Dexterity.	Reliable Dexterity
		Fast Hands	1			Thief 1	Cunning Action	You are particularly quick when using sleight of hand and thieves' tools.	
		Second-Story Work	1			Thief 1		You can climb as fast as you can walk.	
expert	assist	Bardic Inspiration	1			Bard 1		You can assist without exposing yourself to consequences.	
expert	action roll dice	Jack of All Trades	1			Bard 1		When making an action roll you can always roll at least 1D (before accounting for harm).	
	strain	Song of Rest	1			Bard 1		When you can inspire your allies and yourself during a rest, max strain increases by 1 until the next rest. Does not stack.	
		Cutting Words	1			College of Lore			
	initiative	Alert	1					act before others at your tier	
	strain	Inspiring Leader	1					When you can inspire your allies and yourself during a rest, max strain increases by 1 until the next rest. Does not stack.	Just like Song of Rest?
	skill	Linguist	0					Proficiency in three languages, and the ability to write in cypher.	
	feat	Mage Slayer	1						
	movement	Mobile	1						Just Cunning Action?
		Spell Sniper							Metamagic increased range?
		Tavern Brawler							Just Monk martial arts?
		Tough							
		War Caster							Desperate Spellcasting?
		Telekinetic							Spell-like effect: mage hand? Shove?
		Telepathic							Spell-like effect: telepathy?
		Lucky	1						Too good.
	paladin	Lay On Hands	1			Paladin 1	Divine Spellcasting	Strain 2 to heal one harm 1.	Just a spell?
	push	Divine Smite	1			Paladin 1	Divine Spellcasting	When you channel divine power into your attack, strain 1 for +1D or +1 effect, or strain 2 for both.	Also flurry of blows? Also Ranger?
	condition	Channel Divinity: Turn Undead					Divine Spellcasting	Strain 2 to inflict fear on undead of your tier or lower.	
		Channel Divinity: Preserve Life					Divine Spellcasting		
	condition	Intimidating Presence	2			Path of the Berzerker 2		Increased effect when you intimidate.	inflict fear condition; everyone should have this?
	critical	Brutal Critical	2			Barbarian 2	Rage	When attacking, critical successes have increased effect.	Have a different distribution in B&D.
		Spell Mastery	4				Legendary Spellcasting	You can cast tier 1 spells as if the were cantrips.	
		Greater Spell Mastery	4				Spell Mastery	You can cast tier 2 spells as if the were cantrips.	
	other	Portent	1			School of Divination 1			You have 2 portent dice. Roll them before a session. Replace any rolls. Low rolls good for anything? Inspiration dice instead?
	other	Greater Portent	3			School of Divination 3	Portent		3 portent dice
	senses	The Third Eye	2			School of Divination 2	Divination Savant		permanent Detect Magic or Darkvision or Ethereal Sight or Read Languages or See Invisibility
